AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO
2011;27;2;ESCUELA ESMERALDA;15;15101;Arica;2;0;110;12;13;13;9;18;15;18;15;113;7;10;2;7;6;9;9;7;57;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;1;0;0;0;1;0;0;0;2
2011;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;15101;Arica;2;0;110;6;8;16;13;16;25;17;30;131;14;16;11;15;13;18;15;25;127;0;0;1;1;1;0;0;0;3;0;1;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;15101;Arica;2;0;165;5;7;21;0;0;0;0;0;33;7;1;16;0;0;0;0;0;24;3;15;11;0;0;0;0;0;29;0;10;9;0;0;0;0;0;19;2;7;9;0;0;0;0;0;18;4;5;11;0;0;0;0;0;20
2011;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;15101;Arica;2;0;363;18;0;29;0;0;0;0;0;47;27;0;36;0;0;0;0;0;63;44;0;20;0;0;0;0;0;64;30;0;9;0;0;0;0;0;39;40;0;48;0;0;0;0;0;88;19;0;28;0;0;0;0;0;47
2011;29;9;ESCUELA AMERICA;15;15101;Arica;2;0;110;23;29;30;23;29;22;34;30;220;22;22;17;16;20;24;28;31;180;1;0;1;1;0;2;5;1;11;1;0;3;1;1;1;0;3;10;2;0;0;0;0;5;1;1;9;0;0;0;0;0;2;0;2;4
2011;31;0;ESCUELA DARIO SALAS DIAZ;15;15101;Arica;2;1;110;26;20;15;14;24;15;17;10;141;14;13;17;21;16;11;22;13;127;3;2;0;0;0;0;0;0;5;2;1;4;0;1;2;0;0;10;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;3
2011;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;15101;Arica;2;1;110;24;16;21;15;19;11;13;14;133;18;18;14;13;13;12;16;16;120;3;1;1;2;2;3;2;0;14;1;2;0;1;0;1;0;0;5;0;0;0;1;0;1;1;2;5;0;0;0;1;0;2;0;0;3
2011;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;15101;Arica;2;1;610;0;0;8;2;0;0;0;0;10;0;0;2;9;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2011;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;15101;Arica;2;1;710;23;13;4;15;0;0;0;0;55;10;11;6;5;0;0;0;0;32;2;0;0;0;0;0;0;0;2;3;0;2;0;0;0;0;0;5;4;0;0;1;0;0;0;0;5;4;0;1;0;0;0;0;0;5
2011;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;15;15101;Arica;2;1;110;10;8;12;11;8;5;14;13;81;6;9;9;8;7;12;10;9;70;0;1;1;0;2;0;2;0;6;0;1;1;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
2011;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;15;15101;Arica;2;1;110;10;5;4;5;4;2;0;0;30;2;5;4;4;3;2;0;0;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
2011;36;1;ESCUELA IGNACIO CARRERA PINTO;15;15101;Arica;2;1;110;12;20;12;21;16;19;14;23;137;9;11;16;22;12;17;21;8;116;2;0;2;0;2;1;1;0;8;2;1;2;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
