APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO
0;632;0;4;0;1
175;133;3;3;4;1
164;98;19;11;4;0
140;77;12;5;4;0
202;113;8;8;6;0
240;185;15;1;2;1
114;105;4;1;0;1
197;141;6;2;1;0
86;60;1;4;0;1
196;173;0;1;3;0
63;57;0;2;0;0
293;213;11;5;1;0
77;72;1;0;0;0
10;11;0;1;0;0
4;2;0;0;0;0
83;80;7;2;1;0
1;0;0;0;0;0
3;2;0;0;0;0
8;11;0;0;0;0
24;40;1;3;0;0
47;67;5;2;0;0
17;22;2;1;0;0
29;19;1;0;0;0
3;2;0;0;0;0
1;4;0;0;0;0
51;53;1;2;0;0
45;35;3;0;0;0
33;27;2;1;0;0
8;5;0;0;0;0
3;1;0;0;0;0
6;1;0;0;0;0
36;38;2;3;0;0
4;5;0;0;0;0
46;37;4;0;0;0
6;3;0;0;0;0
39;50;5;1;0;0
7;5;0;0;0;0
0;3;0;0;0;0
8;7;0;0;0;0
50;43;2;0;0;0
1;3;0;0;0;0
3;4;1;1;0;0
12;8;0;0;0;0
376;341;1;2;0;0
506;551;11;2;0;0
0;286;0;13;0;11
416;289;4;0;0;0
134;173;2;0;1;0
1;3;0;0;0;0
83;5;15;1;15;2
40;25;1;0;1;0
61;86;0;1;0;0
13;12;1;0;0;0
2;4;0;0;0;0
7;5;0;0;0;0
19;8;0;0;0;0
9;14;2;0;0;0
3;2;0;0;0;0
2;5;0;0;0;0
1;0;1;0;0;0
2;1;0;1;0;0
1;0;0;0;0;0
1;4;0;0;0;0
4;2;0;0;0;0
5;7;0;0;0;0
2;1;0;0;0;0
30;22;0;0;0;0
2;2;0;0;0;0
5;5;0;0;0;0
290;287;12;8;0;0
184;165;12;4;5;0
77;82;1;1;3;0
196;183;31;10;17;13
124;71;4;2;0;0
75;75;1;2;0;0
10;8;0;1;1;0
9;11;0;0;0;0
2;2;0;0;0;0
5;9;0;0;0;0
4;2;0;0;0;0
7;2;0;0;0;0
5;3;0;0;0;0
11;10;0;0;0;0
1;2;1;0;0;0
12;8;0;0;0;0
6;4;0;0;0;0
6;3;0;0;0;0
7;3;0;0;0;0
68;64;3;2;0;0
52;63;4;2;0;0
8;4;0;0;0;0
1;3;0;0;0;0
4;5;1;0;0;0
4;4;0;0;0;0
74;81;3;1;0;0
8;11;1;0;0;0
1;2;0;0;0;1
46;40;2;1;0;0
6;5;0;0;0;0
5;4;0;0;0;0
15;13;2;0;0;0
13;11;1;0;0;0
22;11;0;0;0;0
3;1;0;0;0;0
4;1;0;0;0;0
1;1;0;0;0;0
11;11;0;1;0;0
181;167;12;5;2;1
279;300;6;1;0;0
164;163;8;4;0;1
55;50;3;1;0;0
24;18;0;0;0;0
36;46;1;1;0;0
52;39;1;1;0;0
4;1;0;0;0;0
32;25;0;0;0;0
2;3;0;0;0;0
1;0;0;0;0;0
7;5;0;0;0;0
4;3;0;1;0;0
6;5;0;0;0;0
0;1;0;0;0;0
6;4;0;0;0;0
3;7;0;0;0;0
11;11;0;0;0;0
16;14;0;0;0;0
3;1;0;0;0;0
3;1;0;0;0;0
2;4;0;0;0;0
28;23;0;0;0;0
1;0;0;0;0;0
8;5;1;0;0;1
3;2;0;1;0;0
4;1;0;0;0;0
2;1;0;0;0;0
5;1;0;0;0;0
3;2;0;0;0;0
9;9;0;0;0;0
4;4;0;0;0;0
3;1;0;0;0;0
3;3;0;0;0;0
21;11;0;0;0;0
3;4;0;0;0;0
209;211;5;2;4;2
1;0;0;0;0;0
16;10;0;0;0;0
0;3;0;0;0;0
3;2;0;0;0;0
29;27;1;2;0;0
1;5;0;0;0;0
3;9;1;0;0;0
33;31;4;0;0;0
1;4;0;0;0;0
16;16;1;0;1;0
1;3;0;0;0;0
3;3;0;0;0;0
29;24;0;0;1;1
4;0;0;0;0;0
0;2;0;0;0;0
0;1;0;0;0;0
3;2;0;0;0;0
20;18;5;1;1;0
12;8;0;0;0;0
9;4;0;0;0;0
46;42;0;0;0;0
9;6;0;0;0;0
48;29;0;0;1;0
1;3;0;0;0;0
4;3;0;0;0;0
13;15;0;0;0;0
3;1;0;0;0;0
29;37;1;4;0;0
2;0;0;0;0;0
3;4;0;0;0;0
19;7;1;0;0;1
40;47;5;2;0;0
72;55;0;1;0;0
1;3;0;0;0;0
2;2;0;0;0;0
14;9;0;0;0;0
0;1;0;0;0;0
1;1;0;0;0;0
39;32;5;1;0;0
3;11;0;0;0;0
4;5;1;0;0;0
1;3;0;0;0;0
2;4;0;0;0;0
134;119;16;7;0;0
3;1;0;0;0;0
5;7;0;0;0;0
5;4;0;0;0;0
14;3;0;0;3;1
24;25;2;3;1;2
522;204;36;6;19;8
375;186;11;1;2;0
125;39;1;0;1;0
0;424;0;15;0;1
125;85;1;0;0;1
44;42;1;0;0;0
46;38;2;0;0;0
51;41;0;0;0;0
29;20;0;0;0;0
3;3;1;0;1;0
7;11;0;0;0;0
150;138;6;2;0;0
0;0;0;0;0;0
1;2;0;0;0;0
16;10;0;0;0;0
1;4;0;0;1;2
318;357;18;11;1;0
23;108;3;10;3;8
62;48;3;0;0;0
2;0;0;0;0;0
11;5;2;0;0;0
3;2;0;0;0;0
22;16;2;1;0;0
1;2;0;0;0;0
1;1;0;0;0;0
0;3;0;0;0;0
1;5;0;0;0;0
14;5;1;0;0;0
6;9;0;0;0;1
0;3;0;0;0;0
0;1;0;0;0;0
5;3;0;0;0;0
2;3;0;0;0;0
34;12;2;0;0;0
3;2;0;0;0;0
1;3;0;0;0;0
2;1;1;1;0;0
4;5;0;0;0;0
16;12;2;0;3;0
169;152;12;7;2;0
74;45;1;0;2;4
49;46;0;0;1;0
45;36;0;1;1;1
59;36;4;1;0;1
66;61;2;0;0;0
56;56;0;0;0;0
6;0;0;0;0;0
24;28;0;0;0;0
